2010,2011,2012,2013,2014,2015,Borough,,,
Myrtle-Willoughby Avs G subway,,,,,,,,,
"1,223,378","1,383,197","1,440,313","1,578,243","1,722,392","1,875,988",Brooklyn,,,
Myrtle-Wyckoff Avs L subway M subway,,,,,,,,,
"5,399,769","5,358,434","5,662,633","5,982,615","6,381,800","6,464,630",Brooklyn,,,
Nassau Av  G subway,,,,,,,,,
"2,126,804","2,396,169","2,479,649","2,653,526","2,760,220","2,916,005",Brooklyn,,,
Neck Rd  Q subway,,,,,,,,,
"791,867","1,242,661","1,148,708","1,218,313","1,232,947","1,305,776",Brooklyn,,,
Neptune Av F subway,,,,,,,,,
"516,846","536,991","505,076","523,554","512,828","531,011",Brooklyn,,,
Nevins St  2 subway 3 subway 4 subway 5 subway,,,,,,,,,
"3,566,500","3,524,471","3,454,621","3,477,861","3,580,156","3,310,625",Brooklyn,,,
New Lots Av  3 subway,,,,,,,,,
"1,885,350","1,954,353","1,857,630","1,975,478","2,038,532","2,155,220",Brooklyn,,,
New Lots Av  L subway,,,,,,,,,
"1,231,257","1,304,384","1,379,065","1,499,902","1,583,983","1,595,607",Brooklyn,,,
New Utrecht Av N subway /62 St D subway,,,,,,,,,
"1,692,800","1,768,935","1,931,306","1,654,945","1,716,638","1,857,740",Brooklyn,,,
Newkirk Av  2 subway 5 subway,,,,,,,,,
"2,347,178","2,352,060","2,279,365","2,393,978","2,431,300","2,476,287",Brooklyn,,,
Newkirk Plaza  B subway Q subway,,,,,,,,,
"2,867,372","2,999,870","3,021,079","3,380,559","3,302,958","3,432,907",Brooklyn,,,
Norwood Av  J subway Z subway,,,,,,,,,
"1,056,263","1,065,062","1,097,011","1,095,573","1,145,643","1,159,274",Brooklyn,,,
Nostrand Av  3 subway,,,,,,,,,
"1,290,482","1,324,424","1,313,227","1,327,377","1,358,826","1,386,067",Brooklyn,,,
Nostrand Av  A subway C subway,,,,,,,,,
"4,863,842","5,139,201","5,283,444","5,510,841","5,439,806","5,762,163",Brooklyn,,,
Ocean Pkwy  Q subway,,,,,,,,,
"1,057,060","1,033,582","983,972","990,091","969,271","1,022,215",Brooklyn,,,
Park Pl  S subway,,,,,,,,,
"710,863","707,253","682,438","646,934","608,731","602,858",Brooklyn,,,
Parkside Av  Q subway,,,,,,,,,
"2,050,518","2,098,007","1,812,362","1,381,093","1,617,878","1,692,567",Brooklyn,,,
Pennsylvania Av 3 subway,,,,,,,,,
"1,805,195","1,805,956","1,690,851","1,752,108","1,746,438","2,111,790",Brooklyn,,,
President St  2 subway 5 subway,,,,,,,,,
